Кси Гамма Альфа Каппа
Австрии Франции Италии Испании
Рим Мадрид Минск Токио
Сандали Валенки Балетки Туфли
Барон Маркиз Идальго Вождь
Пекин Вашингтон Канберра Веллингтон
Лебеди Утки Голуби Гуси
Вена Лондон Баку София
Евразия Африка Антарктида Австралия
Бразилиа Афины Будапешт Ханой
Саксофон Грамофон Магнитофон Таксофон
Грибы Животные Птиц Растения
Чаепитие Банная Кофейная Винная
Windows Solaris Linux FreeBSD 
Философом Писателем Архитектором Музыкантом
Пчеложор Муравьед Термитоглот Комаролов
Кульбит Круиз Турне Круговорот
h8 g5 k6 b7
Путепровод Путеукладчик Звезда Путеводитель
Щука Лебедь Рак Креветка
Познань Гнезно Краков Люблин
Китай Таиланд Чад ЮАР
Сосна Магнолия Сакура Ель
Терияки Бешамель Сацебели Песто
Дуремар Бармалей Кит Айболит
Дворца Крепости Местности Реки 
Пряничный Мармеладный Шоколадный Зефирный
Шляпа Панама Берет Капор
Черепахи Белки Вараны Верблюды
Вера София Надежда Анна
Лошадь Змея Собака Свинья
Бородино Ватерлоо Аустерлиц Трафальгар 
Кларнет Геликон Фагот Тромбон
Кабот Колумб Магеллан Кук
Два Три Один Четыре
Франция Швеция Нидерланды Австрия
Субботин Пирогов Боткин Склифосовский
Стенография Историография Монография Литография
2 3 4 5
Корунд Аквамарин Кварц Турмалин
Конфетами Картофелем Огурцами Яблоками
Артиллерист Командор Канонир Бомбардир
Двууголку Бейсболку Цилиндр Шапку-ушанку
Лук Огурец Репа Помидор
Тайбэй Гонконг Гуанчжоу Шанхай
Желудок Печень Лёгкие Сердце
Капуста Картофель Свекла Морковь
Роза Лилия Тюльпан Гвоздика
Казначей Поэт Визирь Посол
Килиманджаро Мак-Кинли Аконкагуа Элбрус
Конго Амазонка Нил Хуанхэ
Усы Весы Часы Деньги
Одуванчика Пиона Чертополоха Георгина
Капетинги Меровинги Каролинги Валуа
Выпадают Слезятся Краснеют Тают
Сочи Владивосток Феодосия Мурманск
Гваделупа Корсика Реюньон Сен-Мартен
Стрелиция Сакура Лотос Аморфофаллус
Жнейка Шапка Болезнь Печка
Гольф Регби Поло Футбол
3 4 5 6
Гонкуровская Шао Хьюго Букеровская
 






 









 
